material_code,material_name_pt,material_name_en,product_code,manufacturer,standard,series,nominal_diameter,nominal_diameter_unit,internal_diameter,internal_diameter_unit,pressure_class,max_allowable_pressure,pressure_unit,hazen_williams_c,absolute_roughness,roughness_unit,cost_per_length,cost_length_unit,currency,active,qgisred_material_value,notes
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 63,,NBR 15561 - 2024- ISO 4427,,50.0,mm,50.0,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 63,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 90,,NBR 15561 - 2024- ISO 4427,,75.0,mm,71.6,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 90,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 110,,NBR 15561 - 2024- ISO 4427,,100.0,mm,87.8,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 110,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 160,,NBR 15561 - 2024- ISO 4427,,150.0,mm,127.6,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 160,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 180,,NBR 15561 - 2024- ISO 4427,,150.0,mm,143.6,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 180,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 200,,NBR 15561 - 2024- ISO 4427,,200.0,mm,159.6,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 200,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 225,,NBR 15561 - 2024- ISO 4427,,200.0,mm,179.6,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 225,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 250,,NBR 15561 - 2024- ISO 4427,,250.0,mm,199.8,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 250,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 280,,NBR 15561 - 2024- ISO 4427,,250.0,mm,223.8,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 280,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 315,,NBR 15561 - 2024- ISO 4427,,300.0,mm,251.8,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 315,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 355,,NBR 15561 - 2024- ISO 4427,,350.0,mm,283.8,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 355,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 400,,NBR 15561 - 2024- ISO 4427,,400.0,mm,319.8,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 400,
PEAD PE-100,PEAD PE-100,PEAD PE-100,PEAD PE-100 SDR 11 - PN 16 DE 450,,NBR 15561 - 2024- ISO 4427,,450.0,mm,359.8,mm,SDR 11 - PN 16,126.4,mca,150.0,0.0015,mm,,,,1,PEAD PE-100 SDR 11 - PN 16 DE 450,
